Tageszeit,BC_IR [ng/m3],NO ppb,NO2 ppb
00:00,453.9078947368421,0.7258771929824561,7.8980263157894735
01:00,423.5219298245614,0.6186842105263157,7.355
02:00,400.0043859649123,0.6079385964912281,6.23219298245614
03:00,386.60087719298247,0.5250438596491228,5.506710526315789
04:00,340.90350877192986,0.505,4.849605263157895
05:00,344.32894736842104,0.6144298245614035,5.083684210526316
06:00,372.69736842105266,0.9916666666666668,6.107543859649123
07:00,394.7061403508772,1.443421052631579,6.5131578947368425
08:00,377.4429824561404,1.5055263157894736,5.6758771929824565
09:00,333.06140350877195,1.3451754385964911,4.6824122807017545
10:00,298.10087719298247,1.1671052631578949,3.9282017543859653
11:00,261.9561403508772,0.9640350877192982,3.156052631578947
12:00,239.0739348370927,0.9655263157894737,2.887174185463659
13:00,222.08333333333331,0.8741228070175439,2.675877192982456
14:00,218.41666666666669,0.9570614035087719,2.886578947368421
15:00,232.85087719298247,0.9746929824561403,3.11609649122807
16:00,225.99122807017542,0.8250877192982456,2.8471491228070174
17:00,201.7543859649123,0.7640350877192983,2.9214473684210525
18:00,190.94298245614036,0.6925877192982456,3.1180701754385964
19:00,205.48245614035088,0.599780701754386,3.5372807017543857
20:00,222.83771929824562,0.5566228070175439,3.719342105263158
21:00,267.8070175438596,0.5155263157894737,4.318070175438597
22:00,414.05263157894734,0.5203947368421052,5.489473684210526
23:00,457.719298245614,0.5931140350877193,6.40469298245614
